cik,company_name,event_date,dominant_symbol,news_count,news_days
1234383,BANK HOLDINGS,2010-06-24,nan,9706,180
1302331,"China Holdings, Inc.",2009-02-17,nan,7445,178
750199,ENERGY PARTNERS LTD,2009-05-05,nan,6790,162
49534,LIFE PARTNERS HOLDINGS INC,2015-01-26,nan,2574,162
732717,"AT&T INC.  (T, TBB, TBC, T-PA, T-PC)",2012-01-13,nan,1774,149
1259550,LOCAL Corp,2015-06-24,nan,1299,155
1116112,US FUEL CORP,2014-12-30,nan,1198,149
945436,"SUNEDISON, INC.",2016-04-27,SUNE,1044,126
798949,"UNIT CORP  (UNTC, UNTCW)",2020-05-26,UNT,451,106
806085,LEHMAN BROTHERS HOLDINGS INC,2008-09-19,nan,447,93
1004980,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)",2019-01-14,PCG,369,78
96289,RADIOSHACK CORP,2015-02-11,RSH,334,82
1562594,"Liquid Holdings Group, Inc.",2016-02-02,nan,321,98
1401106,MF Global Holdings Ltd.,2011-11-03,nan,292,38
1310067,SEARS HOLDINGS CORP,2018-10-15,SHLD,285,69
814068,CHAMPION ENTERPRISES INC,2009-11-20,nan,248,111
74273,OLD STONE CORP,2012-06-06,nan,214,102
940510,BORDERS GROUP INC,2011-02-17,nan,212,87
4515,AMERICAN AIRLINES INC,2011-11-29,nan,186,85
1064728,PEABODY ENERGY CORP  (BTU),2016-04-13,BTU,186,69
1034258,"NOBLE INTERNATIONAL, LTD.",2009-04-16,nan,184,85
1326428,"LINN ENERGY, LLC",2016-05-11,LINE,180,57
1124394,HydroGen CORP,2008-10-23,nan,166,86
1145061,"Global Energy Holdings Group, Inc.",2009-11-25,nan,152,88
1085734,BLOCKBUSTER INC,2010-09-24,nan,150,69
931336,DEAN FOODS CO,2019-11-12,DF,143,38
726513,TRIBUNE CO,2008-12-11,nan,142,64
1330849,"HERCULES OFFSHORE, INC.",2015-08-17,HERO,133,43
47129,HERTZ CORP,2020-05-26,HTZ,129,41
1489137,"Molycorp, Inc.",2015-06-30,MCP,125,52
1282266,"WINDSTREAM HOLDINGS, INC.",2019-02-28,WIN,121,44
40730,GENERAL MOTORS CORP,2009-06-03,nan,120,62
1304366,Community Bancorp,2009-08-28,nan,105,66
1458891,Noble Corp plc,2020-07-31,NBL,100,40
1169055,NOBLE CORP,2020-07-31,NBL,100,40
837173,"Walter Energy, Inc.",2015-07-15,WLT,99,47
1735828,Legacy Reserves Inc.,2019-06-21,LGCY,99,40
933136,"WASHINGTON MUTUAL, INC  (COOP)",2008-09-30,nan,99,46
1336545,"AMERICAN APPAREL, INC",2015-10-08,nan,98,41
1301501,"Achaogen, Inc.",2019-04-15,AKAO,95,30
1105055,"DYNEGY HOLDINGS, LLC",2011-11-08,nan,94,45
1379895,DYNEGY INC.,2011-11-08,nan,94,45
805305,QUIKSILVER INC,2015-09-11,nan,93,51
708819,MCDERMOTT INTERNATIONAL INC,2020-01-22,CRC,93,22
1553588,"SFX Entertainment, INC",2016-02-05,SFXE,93,53
1037676,ARCH COAL INC  (ARCH),2016-01-11,nan,88,38
840889,DORAL FINANCIAL CORP,2015-03-02,DRL,87,31
863456,WET SEAL INC,2015-01-16,WTSL,83,38
1167178,"A123 SYSTEMS, INC.",2012-10-17,nan,81,26
727346,"GLOBAL HEALTHCARE REIT, INC.  (GBCS)",2019-10-23,GWPH,77,38
1516479,"Insys Therapeutics, Inc.",2019-06-10,INSY,74,26
73887,Bristow Group Inc,2019-05-13,GOLD,74,18
1255474,WHITING PETROLEUM CORP,2020-04-01,WLL,73,36
1376812,Patriot Coal CORP,2012-07-09,nan,73,32
1112412,ENDEAVOUR INTERNATIONAL CORP,2014-10-14,nan,73,50
1168213,AEROPOSTALE INC,2016-05-06,ARO,72,24
895126,"CHESAPEAKE ENERGY CORP  (CHK, CHKEL, CHKEW, CHKEZ)",2020-06-29,CHK,71,31
1648893,Nuvectra Corp,2019-11-13,IBB,70,7
1073429,US CONCRETE INC,2010-04-29,nan,70,53
1514242,Performance Sports Group Ltd.,2016-10-31,PSG,68,24
1159154,REPUBLIC AIRWAYS HOLDINGS INC,2016-02-26,RJET,67,31
1393066,AbitibiBowater Inc.,2009-04-22,nan,67,35
1000285,SOLUTION TECHNOLOGY INTERNATIONAL INC,2009-05-14,nan,66,50
1573166,"Jones Energy, Inc.",2019-04-15,JONE,65,20
1031296,FIRSTENERGY CORP  (FE),2018-04-05,FE,65,26
1335190,MAGNUM HUNTER RESOURCES CORP,2015-12-15,nan,63,33
904080,STONE ENERGY CORP,2016-12-14,SGY,60,25
701374,"SIX FLAGS, INC.",2009-06-15,nan,60,41
9779,FAIRCHILD CORP,2009-03-19,nan,60,43
1343719,Energy XXI Ltd,2016-04-14,EXXI,59,17
1394954,GT Advanced Technologies Inc.,2014-10-10,nan,58,27
1568832,RCS Capital Corp,2016-02-04,nan,56,26
31235,EASTMAN KODAK CO  (KODK),2012-01-19,nan,56,31
1594590,PARAGON OFFSHORE PLC,2016-02-16,PGN,56,30
1419428,Vantage Drilling CO,2015-12-03,VTG,56,22
913144,"RENAISSANCERE HOLDINGS LTD  (RNR, RNR-PF, RNR-PG)",2012-05-22,RNR,56,24
75208,OVERSEAS SHIPHOLDING GROUP INC,2012-11-15,nan,56,24
1657853,"HERTZ GLOBAL HOLDINGS, INC  (HTZ, HTZWW)",2020-05-26,HTZ,52,27
1293310,KALOBIOS PHARMACEUTICALS INC,2015-12-30,KBIO,52,20
1111335,VISTEON CORP  (VC),2009-06-04,nan,52,29
1603923,Weatherford International plc  (WFRD),2019-07-02,WFT,51,21
1434621,"LendingTree, Inc.  (TREE)",2019-07-25,TREE,50,14
1132143,LEGEND INTERNATIONAL HOLDINGS INC,2016-05-09,nan,48,24
874501,AMBAC FINANCIAL GROUP INC  (AMBC),2010-11-10,nan,48,32
1022646,ULTRA PETROLEUM CORP,2016-05-03,UPL,48,22
1347613,"SYNERGY PHARMACEUTICALS, INC.",2018-12-13,SGYP,46,18
1160165,"ShengdaTech, Inc.",2011-08-23,nan,46,31
1061580,UCBH HOLDINGS INC,2009-11-16,nan,43,23
1396279,"hhgregg, Inc.",2017-03-07,HGG,43,21
1322705,Spansion Inc.,2009-03-02,nan,43,27
1076700,"KIT digital, Inc.",2013-04-26,nan,42,26
1106935,IVANHOE ENERGY INC,2015-02-26,nan,41,32
1416712,"IRON MINING GROUP, INC.",2011-08-30,nan,41,29
895642,ENER1 INC,2012-01-26,nan,40,27
1301206,"ECOTALITY, INC.",2013-09-17,nan,40,27
925178,MOVIE GALLERY INC,2007-10-17,nan,40,24
919013,WAVE SYSTEMS CORP,2016-02-01,nan,39,27
834408,BROOKE CORP,2008-10-29,nan,39,30
1357371,Breitburn Energy Partners LP,2016-05-16,LINE,38,12
1171014,COSI INC,2016-09-28,COSI,38,16
1301063,"Alpha Natural Resources, Inc.",2015-08-03,nan,38,22
1490930,"Digital Domain Media Group, Inc.",2012-09-12,nan,38,33
1421182,Verso Corp,2016-01-26,VRS,37,23
314132,FLEETWOOD ENTERPRISES INC/DE/,2009-03-10,nan,37,25
92339,COLONIAL BANCGROUP INC,2009-08-20,nan,37,23
946842,AMBASSADORS INTERNATIONAL INC,2011-04-07,nan,36,30
842162,LEAR CORP  (LEA),2009-07-07,nan,36,20
1282613,AMERICAN EAGLE ENERGY Corp,2015-05-12,AMZG,35,19
1066134,CORINTHIAN COLLEGES INC,2015-05-06,nan,35,15
1532543,"EveryWare Global, Inc.",2015-04-08,nan,35,29
1068084,PRIVATE MEDIA GROUP INC,2011-08-26,nan,35,30
1441849,CLOUD PEAK ENERGY INC.,2019-05-10,CLD,34,18
6885,STAGE STORES INC,2020-05-12,SSI,34,15
1091862,Chemtura CORP,2009-03-23,nan,34,25
925464,SECURITY BANK CORP,2009-07-27,nan,34,26
1609253,"California Resources Corp  (CRC, CRCQW)",2020-07-16,CRC,33,16
1311486,Global Geophysical Services Inc,2014-03-27,nan,33,19
38984,FREMONT GENERAL CORP,2008-06-18,nan,33,23
947397,EVERGREEN SOLAR INC,2011-08-15,nan,32,20
1555177,Emerge Energy Services LP,2019-07-17,EMES,32,8
1283843,"Emerald Oil, Inc.",2016-03-23,EOX,32,11
1030749,GULFMARK OFFSHORE INC,2017-05-18,GLF,32,13
1351197,ARTES MEDICAL INC,2008-12-02,nan,32,30
1372326,Superior Offshore International Inc.,2008-04-25,nan,32,20
943861,GOODRICH PETROLEUM CORP,2016-04-15,GDP,31,22
1013871,"NRG ENERGY, INC.  (NRG)",2017-06-14,NRG,30,16
351817,SWIFT ENERGY CO,2016-01-04,SFY,30,20
1528837,Sanchez Energy Corp,2019-08-12,SN,30,8
1385544,Horsehead Holding Corp,2016-02-02,ZINC,30,22
1207070,FRANKLIN BANK CORP,2008-11-10,nan,30,22
50957,FURNITURE BRANDS INTERNATIONAL INC,2013-09-10,nan,30,23
813781,EXIDE TECHNOLOGIES,2013-06-10,nan,30,24
