cik,company_name,event_date,key,raw_news,top_sym,top_share,phrase_ratio,verdict,reason
945436,"SUNEDISON, INC.",2016-04-27,sunedison,1044,SUNE,0.240,1.000,ACCEPT,R3 single-token 'sunedison' ratio=1.00
806085,LEHMAN BROTHERS HOLDINGS INC,2008-09-19,lehman brothers,447,,0.000,1.000,ACCEPT,R2 phrase 'lehman brothers' ratio=1.00
1004980,"PG&E Corp  (PCG, PCG-PA, PCG-PB, PCG-PC, PCG-PD, PCG-PE, PCG-PG, PCG-PH, PCG-PI)",2019-01-14,pg e,369,PCG,0.724,1.000,ACCEPT,R1 symbol PCG share=0.72
96289,RADIOSHACK CORP,2015-02-11,radioshack,334,RSH,0.473,1.000,ACCEPT,R1 symbol RSH share=0.47
1401106,MF Global Holdings Ltd.,2011-11-03,mf global,292,IBKR,0.051,0.997,ACCEPT,R2 phrase 'mf global' ratio=1.00
1310067,SEARS HOLDINGS CORP,2018-10-15,sears,285,SHLD,0.589,1.000,ACCEPT,R1 symbol SHLD share=0.59
940510,BORDERS GROUP INC,2011-02-17,borders,212,BKS,0.108,1.000,ACCEPT,R3 single-token 'borders' ratio=1.00
4515,AMERICAN AIRLINES INC,2011-11-29,american airlines,186,SAVE,0.016,0.892,ACCEPT,R2 phrase 'american airlines' ratio=0.89
1064728,PEABODY ENERGY CORP  (BTU),2016-04-13,peabody energy,186,BTU,0.559,0.930,ACCEPT,R1 symbol BTU share=0.56
1326428,"LINN ENERGY, LLC",2016-05-11,linn energy,180,LINE,0.483,1.000,ACCEPT,R1 symbol LINE share=0.48
931336,DEAN FOODS CO,2019-11-12,dean foods,143,DF,0.448,0.993,ACCEPT,R1 symbol DF share=0.45
726513,TRIBUNE CO,2008-12-11,tribune,142,,0.000,1.000,ACCEPT,R3 single-token 'tribune' ratio=1.00
1330849,"HERCULES OFFSHORE, INC.",2015-08-17,hercules offshore,133,HERO,0.474,0.902,ACCEPT,R1 symbol HERO share=0.47
47129,HERTZ CORP,2020-05-26,hertz,129,HTZ,0.729,1.000,ACCEPT,R1 symbol HTZ share=0.73
1489137,"Molycorp, Inc.",2015-06-30,molycorp,125,MCP,0.600,1.000,ACCEPT,R1 symbol MCP share=0.60
1282266,"WINDSTREAM HOLDINGS, INC.",2019-02-28,windstream,121,WIN,0.777,1.000,ACCEPT,R1 symbol WIN share=0.78
40730,GENERAL MOTORS CORP,2009-06-03,general motors,120,,0.000,1.000,ACCEPT,R2 phrase 'general motors' ratio=1.00
1304366,Community Bancorp,2009-08-28,community bancorp,105,,0.000,0.705,ACCEPT,R2 phrase 'community bancorp' ratio=0.70
1458891,Noble Corp plc,2020-07-31,noble,100,NBL,0.410,1.000,ACCEPT,R1 symbol NBL share=0.41
1169055,NOBLE CORP,2020-07-31,noble,100,NBL,0.410,1.000,ACCEPT,R1 symbol NBL share=0.41
837173,"Walter Energy, Inc.",2015-07-15,walter energy,99,WLT,0.485,1.000,ACCEPT,R1 symbol WLT share=0.48
1735828,Legacy Reserves Inc.,2019-06-21,legacy reserves,99,LGCY,0.626,1.000,ACCEPT,R1 symbol LGCY share=0.63
933136,"WASHINGTON MUTUAL, INC  (COOP)",2008-09-30,washington mutual,99,,0.000,1.000,ACCEPT,R2 phrase 'washington mutual' ratio=1.00
1336545,"AMERICAN APPAREL, INC",2015-10-08,american apparel,98,APP,0.276,0.929,ACCEPT,R2 phrase 'american apparel' ratio=0.93
1301501,"Achaogen, Inc.",2019-04-15,achaogen,95,AKAO,0.674,1.000,ACCEPT,R1 symbol AKAO share=0.67
1105055,"DYNEGY HOLDINGS, LLC",2011-11-08,dynegy,94,DYN,0.372,1.000,ACCEPT,R1 symbol DYN share=0.37
1379895,DYNEGY INC.,2011-11-08,dynegy,94,DYN,0.372,1.000,ACCEPT,R1 symbol DYN share=0.37
805305,QUIKSILVER INC,2015-09-11,quiksilver,93,ZQK,0.441,1.000,ACCEPT,R1 symbol ZQK share=0.44
708819,MCDERMOTT INTERNATIONAL INC,2020-01-22,mcdermott,93,CRC,0.054,1.000,ACCEPT,R3 single-token 'mcdermott' ratio=1.00
1553588,"SFX Entertainment, INC",2016-02-05,sfx entertainment,93,SFXE,0.538,0.989,ACCEPT,R1 symbol SFXE share=0.54
