cik,name,symbol,query_name
1001233,"SANGAMO THERAPEUTICS, INC",SGMO,SANGAMO THERAPEUTICS
1015155,CHARLES & COLVARD LTD,,Charles & Colvard
105319,"WW INTERNATIONAL, INC.",WW,WeightWatchers
1058623,CUMULUS MEDIA INC,CMLS,CUMULUS MEDIA
1098880,IntelGenx Technologies Corp.,,IntelGenx Technologies
1101680,DZS INC.,DZSI,DZS
1159167,IROBOT CORP,IRBT,iRobot
1162461,CUTERA INC,CUTR,CUTERA
1183765,"Molecular Templates, Inc.",,Molecular Templates
1220754,ModivCare Inc,MODV,ModivCare
1347242,LIPELLA PHARMACEUTICALS INC.,LIPO,LIPELLA PHARMACEUTICALS
1355096,"QVC Group, Inc.",QVCGA,QVC
1389002,MARIN SOFTWARE INC,MRIN,MARIN SOFTWARE
1455684,"TPI COMPOSITES, INC",TPIC,TPI COMPOSITES
1456772,OFFICE PROPERTIES INCOME TRUST,OPI,OFFICE PROPERTIES
1498710,"Spirit Airlines, Inc.",SAVEQ,Spirit Airlines
1519061,Trinseo PLC,TSEOF,Trinseo
1532286,"Nine Energy Service, Inc.",NINE,Nine Energy
1537028,"Independence Contract Drilling, Inc.",ICDIQ,Independence Contract
1537561,"Arch Therapeutics, Inc.",,Arch Therapeutics
1539029,"Clearside Biomedical, Inc.",CLSD,Clearside Biomedical
1559998,"Gaucho Group Holdings, Inc.",VINOQ,Gaucho
1643988,"Loop Media, Inc.",LPTV,Loop Media
1656634,"Gritstone bio, Inc.",GRTSQ,Gritstone bio
1705012,FAT Brands Inc.,FAT,FAT Brands Inc.
1723580,"BurgerFi International, Inc.",,BurgerFi
1758057,"Luminar Technologies, Inc./DE",LAZR,Luminar
1779020,"Danimer Scientific, Inc.",DNMR,Danimer
1783875,4Front Ventures Corp.,FFNTF,4Front Ventures
1792581,"Kiromic Biopharma, Inc.",KRBP,Kiromic Biopharma
1808220,"GoHealth, Inc.",GOCO,GoHealth
1813914,"CareMax, Inc.",CMAXQ,CareMax
1817511,SOCIETY PASS INCORPORATED.,SOPA,SOCIETY PASS
1819395,Sonder Holdings Inc.,SOND,Sonder
1828852,"Mondee Holdings, Inc.",MOND,Mondee
1830210,"Benson Hill, Inc.",BHIL,Benson Hill
1842356,Wag! Group Co.,PET,Wag!
1850838,"Omega Therapeutics, Inc.",OMGA,Omega Therapeutics
1865494,"IO Biotech, Inc.",IOBT,IO Biotech
1886799,Bright Green Corp,BGXX,Bright Green
1893311,LUXURBAN HOTELS INC.,,LUXURBAN HOTELS
1901799,Bitcoin Depot Inc.,BTM,Bitcoin Depot
1906133,iCoreConnect Inc.,ICCT,iCoreConnect
2011954,Twin Hospitality Group Inc.,TWNP,Twin Hospitality
720154,"Inotiv, Inc.",NOTV,Inotiv
720875,DYNATRONICS CORP,DYNT,DYNATRONICS
727207,"Accelerate Diagnostics, Inc",AXDX,Accelerate Diagnostics
748790,"Global Clean Energy Holdings, Inc.",GCEH,Global Clean
764897,"Broad Street Realty, Inc.",BRST,Broad Street Realty
768835,FORMER BL STORES INC,,FORMER BL
827187,Sleep Number Corp,SNBR,Sleep Number
846475,ZYNEX INC,ZYXI,ZYNEX
933738,ENGLOBAL CORP,ENGC,ENGLOBAL
